Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9.145088222;38.70790123;642;Misericórdia;15885: Pc São Paulo (Ambos (->)(->): R São Paulo - Tv Carvalho);Lixos;CV0090;240;1;240
-9.145088222;38.70790123;643;Misericórdia;15885: Pc São Paulo (Ambos (->)(->): R São Paulo - Tv Carvalho);Lixos;CV0240;240;1;240
-9.144888868;38.70762372;644;Misericórdia;15886: Pc São Paulo (Ambos (1->9)(4->8): Tv Carvalho - Tv Ribeira Nova);Lixos;CV0120;140;4;560
-9.144888868;38.70762372;645;Misericórdia;15886: Pc São Paulo (Ambos (1->9)(4->8): Tv Carvalho - Tv Ribeira Nova);Lixos;CV0140;240;1;240
-9.144888868;38.70762372;646;Misericórdia;15886: Pc São Paulo (Ambos (1->9)(4->8): Tv Carvalho - Tv Ribeira Nova);Papel e Cartão;CV0240;140;1;140
-9.144475184;38.70763631;647;Misericórdia;15887: Pc São Paulo (Ambos (17->19)(16->18): Tv Ribeira Nova - R São Paulo);Lixos;CV0120;240;1;240
-9.144475184;38.70763631;648;Misericórdia;15887: Pc São Paulo (Ambos (17->19)(16->18): Tv Ribeira Nova - R São Paulo);Lixos;CV0140;240;1;240
-9.143298848;38.70655655;649;Misericórdia;15888: Pc Duque da Terceira (Ambos (->)(24->): Cais do Sodré - R Bernardino da Costa);Lixos;CV0240;240;2;480
-9.143298848;38.70655655;650;Misericórdia;15888: Pc Duque da Terceira (Ambos (->)(24->): Cais do Sodré - R Bernardino da Costa);Papel e Cartão;CV0240;240;1;240
-9.143404712;38.70672678;651;Misericórdia;15889: Pc Duque da Terceira (Ambos (15->19)(14->18): R Bernardino da Costa - R do Alecrim);Lixos;CV0140;140;2;280
-9.143404712;38.70672678;652;Misericórdia;15889: Pc Duque da Terceira (Ambos (15->19)(14->18): R Bernardino da Costa - R do Alecrim);Lixos;CV0120;90;1;90
-9.143404712;38.70672678;653;Misericórdia;15889: Pc Duque da Terceira (Ambos (15->19)(14->18): R Bernardino da Costa - R do Alecrim);Lixos;CV0240;120;1;120
-9.143404712;38.70672678;654;Misericórdia;15889: Pc Duque da Terceira (Ambos (15->19)(14->18): R Bernardino da Costa - R do Alecrim);Lixos;CV0090;140;2;280
-9.143404712;38.70672678;655;Misericórdia;15889: Pc Duque da Terceira (Ambos (15->19)(14->18): R Bernardino da Costa - R do Alecrim);Lixos;CV1100;90;1;90
-9.143404712;38.70672678;656;Misericórdia;15889: Pc Duque da Terceira (Ambos (15->19)(14->18): R Bernardino da Costa - R do Alecrim);Lixos;CV0140;120;1;120
-9.143404712;38.70672678;657;Misericórdia;15889: Pc Duque da Terceira (Ambos (15->19)(14->18): R Bernardino da Costa - R do Alecrim);Papel e Cartão;CV0240;140;2;280
-9.143611743;38.706734;658;Misericórdia;15890: Pc Duque da Terceira (Ambos (9->13)(->): R do Alecrim - R Remolares);Lixos;CV0090;90;1;90
-9.143611743;38.706734;659;Misericórdia;15890: Pc Duque da Terceira (Ambos (9->13)(->): R do Alecrim - R Remolares);Lixos;CV0140;140;4;560
-9.143611743;38.706734;660;Misericórdia;15890: Pc Duque da Terceira (Ambos (9->13)(->): R do Alecrim - R Remolares);Lixos;CV0240;90;1;90
-9.143611743;38.706734;661;Misericórdia;15890: Pc Duque da Terceira (Ambos (9->13)(->): R do Alecrim - R Remolares);Lixos;CV0090;140;4;560
-9.143759014;38.70657959;662;Misericórdia;15891: Pc Duque da Terceira (Ambos (1->)(2->4): R Remolares - Av 24 de Julho);Lixos;CV0090;140;2;280
-9.143759014;38.70657959;663;Misericórdia;15891: Pc Duque da Terceira (Ambos (1->)(2->4): R Remolares - Av 24 de Julho);Lixos;CV0120;140;2;280
-9.143759014;38.70657959;664;Misericórdia;15891: Pc Duque da Terceira (Ambos (1->)(2->4): R Remolares - Av 24 de Julho);Papel e Cartão;CV0140;240;1;240
-9.142005028;38.70692805;333;Misericórdia;15892: Lg Corpo Santo (Ambos (->)(2->6): Cais do Sodré - R Arsenal);Lixos;CV0240;140;1;140
