Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9,14351883;38,70748245;524;Misericórdia;15858: R São Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;CV0090;90;1;90
-9,14351883;38,70748245;525;Misericórdia;15858: R São Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;CV0140;140;3;420
-9,14351883;38,70748245;526;Misericórdia;15858: R São Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;CV0240;240;1;240
-9,144754745;38,70789511;527;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Lixos;CV0090;90;3;270
-9,144754745;38,70789511;528;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Lixos;CV0140;140;5;700
-9,144754745;38,70789511;529;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Lixos;CV0240;240;2;480
-9,144754745;38,70789511;530;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Lixos;CV0090;90;3;270
-9,144754745;38,70789511;531;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Lixos;CV0140;140;5;700
-9,144754745;38,70789511;532;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Lixos;CV0240;240;2;480
-9,144754745;38,70789511;533;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Papel e Cartão;CV0140;140;1;140
-9,145528588;38,70814963;534;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Lixos;CV0090;90;3;270
-9,145528588;38,70814963;535;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Lixos;CV0240;240;3;720
-9,145528588;38,70814963;536;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Lixos;CV0140;140;11;1540
-9,145528588;38,70814963;537;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Lixos;CV0120;120;2;240
-9,145528588;38,70814963;538;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Lixos;CV0090;90;3;270
-9,145528588;38,70814963;539;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Lixos;CV0240;240;3;720
-9,145528588;38,70814963;540;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Lixos;CV0140;140;11;1540
-9,145528588;38,70814963;541;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Lixos;CV0120;120;2;240
-9,145528588;38,70814963;542;Misericórdia;15860: R São Paulo (Ambos (71->77)(120->178): Pc São Paulo - Tv Carvalho);Papel e Cartão;CV0240;240;2;480
-9,146060151;38,70834319;543;Misericórdia;15861: R São Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;CV0140;140;5;700
-9,146060151;38,70834319;544;Misericórdia;15861: R São Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;CV0090;90;2;180
-9,146060151;38,70834319;545;Misericórdia;15861: R São Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;CV0120;120;1;120
-9,146060151;38,70834319;546;Misericórdia;15861: R São Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;CV0140;140;5;700
-9,146060151;38,70834319;547;Misericórdia;15861: R São Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;CV0090;90;2;180
-9,146060151;38,70834319;548;Misericórdia;15861: R São Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;CV0120;120;1;120
-9,146348797;38,70843077;549;Misericórdia;15862: R São Paulo (Ambos (89->)(200->216): Bc da Moeda - Cc da Bica Grande);Lixos;CV0090;90;1;90
-9,146348797;38,70843077;550;Misericórdia;15862: R São Paulo (Ambos (89->)(200->216): Bc da Moeda - Cc da Bica Grande);Lixos;CV0140;140;2;280
-9,146348797;38,70843077;551;Misericórdia;15862: R São Paulo (Ambos (89->)(200->216): Bc da Moeda - Cc da Bica Grande);Lixos;CV0090;90;1;90
-9,146348797;38,70843077;552;Misericórdia;15862: R São Paulo (Ambos (89->)(200->216): Bc da Moeda - Cc da Bica Grande);Lixos;CV0140;140;2;280
-9,14664843;38,70848221;553;Misericórdia;15863: R São Paulo (Ambos (->)(218->226): Cc da Bica Grande - R Moeda);Lixos;CV0240;240;1;240
-9,14664843;38,70848221;554;Misericórdia;15863: R São Paulo (Ambos (->)(218->226): Cc da Bica Grande - R Moeda);Lixos;CV0140;140;1;140
-9,14664843;38,70848221;555;Misericórdia;15863: R São Paulo (Ambos (->)(218->226): Cc da Bica Grande - R Moeda);Lixos;CV0240;240;1;240
-9,14664843;38,70848221;556;Misericórdia;15863: R São Paulo (Ambos (->)(218->226): Cc da Bica Grande - R Moeda);Lixos;CV0140;140;1;140
-9,146958664;38,70847051;563;Misericórdia;15864: R São Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;CV0240;240;4;960
-9,146958664;38,70847051;564;Misericórdia;15864: R São Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;CV0140;140;4;560
-9,146958664;38,70847051;557;Misericórdia;15864: R São Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;CV0090;90;1;90
